,Facility/HHS Code,Facility/HHS Desc,Last Month in QTR,Triage Category,Number of Attendances,Variation in the number of attendances (%),Patients Seen within clinically recommended times (%),Median Waiting time to treatment (minutes),Patients who did not wait for treatment (%),Patients admitted from the Emergency Department (%),Admissions to hospital within 4 hours (%),Patients whose ED stay was within 4 hours (%),Number of patients who left after treatment commenced,Percentage of patients who left after treatment commenced (%),Number of patients who did not wait for treatment,Median Wait Traffic Light
79,44,Esk,Jun-24,2,94,-36.9,81.9,4,0,13.8,76.9,72.3,0,0,0,
80,44,Esk,Jun-24,3,214,-15.7,88.8,7,0,7.9,70.6,82.2,4,1.9,0,
81,44,Esk,Jun-24,4,394,5.6,93.2,8,0.8,5.3,52.4,85,9,2.3,3,
82,44,Esk,Jun-24,5,220,64.2,96.3,7,4.1,3.6,62.5,93.6,6,2.7,9,
83,44,Esk,Jun-24,ALL,928,1.5,91.7,7,1.3,6.5,63.3,85,19,2,12,
84,45,Gatton,Jun-24,1,7,-41.7,85.7,0,0,28.6,0,57.1,0,0,0,
85,45,Gatton,Jun-24,2,342,26.7,88.2,2,0.9,9.1,93.5,79.5,7,2,3,
86,45,Gatton,Jun-24,3,971,7.8,89.4,5,2.8,4.7,73.9,90.2,6,0.6,27,
87,45,Gatton,Jun-24,4,1219,9.4,92.7,5,4.3,2,66.7,95,6,0.5,52,
88,45,Gatton,Jun-24,5,369,13.9,99.3,3,5.7,0.8,100,96.5,2,0.5,21,
89,45,Gatton,Jun-24,ALL,2908,11,91.6,5,3.5,3.6,77.4,91.7,21,0.7,103,
90,46,Kilcoy,Jun-24,1,0,-100,-,-,-,-,-,-,0,-,0,
91,46,Kilcoy,Jun-24,2,66,-1.5,90.8,0,0,15.2,60,53,1,1.5,0,
92,46,Kilcoy,Jun-24,3,197,-12.8,87.1,3,1,9.6,47.4,81.7,2,1,2,
93,46,Kilcoy,Jun-24,4,391,24.9,94.8,1,1,2.6,80,95.7,2,0.5,4,
94,46,Kilcoy,Jun-24,5,304,47.6,99.5,5,2.6,0.7,100,96.4,0,0,8,
95,46,Kilcoy,Jun-24,ALL,958,17.7,93.9,2,1.5,4.3,61,90.1,5,0.5,14,
96,47,Laidley,Jun-24,1,5,-66.7,100,0,0,0,-,60,0,0,0,
97,47,Laidley,Jun-24,2,298,1,67,7,1.3,6.4,52.6,76.2,7,2.3,4,
98,47,Laidley,Jun-24,3,627,15,81.2,11,3.7,4.8,40,82.6,20,3.2,23,
99,47,Laidley,Jun-24,4,662,-10.8,88.3,11,5.4,3.2,57.1,90.6,22,3.3,36,
100,47,Laidley,Jun-24,5,258,-3,98.5,8,7.4,1.6,100,96.5,5,1.9,19,
101,47,Laidley,Jun-24,ALL,1850,-0.7,83.5,10,4.4,4,51.4,86.3,54,2.9,82,
102,48,Maleny,Jun-24,1,2,-75,100,0,0,50,100,100,0,0,0,
103,48,Maleny,Jun-24,2,136,0,87.5,0,0,13.2,77.8,75,0,0,0,
104,48,Maleny,Jun-24,3,350,34.1,94.6,5,0.3,10.9,86.8,88.6,1,0.3,1,
105,48,Maleny,Jun-24,4,497,-11.3,95.5,13,1.2,3.8,84.2,95.4,0,0,6,
106,48,Maleny,Jun-24,5,347,-24.9,98.7,15,2,2.3,100,99.7,0,0,7,
107,48,Maleny,Jun-24,ALL,1332,-6.7,95.2,10,1.1,6.3,85.7,92.6,1,0.1,14,
108,49,Nambour,Jun-24,1,48,9.1,100,0,0,35.4,47.1,41.7,0,0,0,
109,49,Nambour,Jun-24,2,2240,2.6,82.9,6,0,38,45.5,50.9,32,1.4,1,
110,49,Nambour,Jun-24,3,6521,3.9,80,14,0.8,29.7,34.2,51.9,246,3.8,52,
111,49,Nambour,Jun-24,4,6136,10.7,84,19,2.9,7.6,40.9,80.8,231,3.8,175,
112,49,Nambour,Jun-24,5,1288,20.9,95.6,22,4.3,0.9,45.5,95.5,15,1.2,55,
113,49,Nambour,Jun-24,ALL,16233,7.4,83,14,1.7,20.2,38.2,66.1,524,3.2,283,
114,61,Biggenden MPHS,Jun-24,1,0,-100,-,-,-,-,-,-,0,-,0,
115,61,Biggenden MPHS,Jun-24,2,19,-13.6,100,0,0,68.4,92.3,94.7,0,0,0,
116,61,Biggenden MPHS,Jun-24,3,70,6.1,98.6,0,0,35.7,100,98.6,0,0,0,
117,61,Biggenden MPHS,Jun-24,4,152,-29,99.3,0,2,7.9,100,98.7,0,0,3,
118,61,Biggenden MPHS,Jun-24,5,107,-4.5,100,0,1.9,0.9,100,100,0,0,2,
119,61,Biggenden MPHS,Jun-24,ALL,348,-16.1,99.4,0,1.4,14.7,98,98.9,0,0,5,
120,62,Bundaberg,Jun-24,1,45,18.4,97.8,0,0,64.4,27.6,24.4,1,2.2,0,
121,62,Bundaberg,Jun-24,2,2054,-2.6,52.9,10,0.8,51.9,26.3,32.5,114,5.6,16,
122,62,Bundaberg,Jun-24,3,5577,-6,43.6,38,7.6,33.4,17.7,38.2,579,10.4,423,
123,62,Bundaberg,Jun-24,4,3382,-4.5,56.9,49,13.2,10.1,27.8,65.7,253,7.5,447,
124,62,Bundaberg,Jun-24,5,346,7.5,87.8,25,15,4.3,26.7,82.4,17,4.9,52,
125,62,Bundaberg,Jun-24,ALL,11404,-4.5,50.5,32,8.2,29,21.6,46.6,964,8.5,938,
126,63,Cherbourg,Jun-24,1,5,66.7,100,0,0,20,100,100,0,0,0,
127,63,Cherbourg,Jun-24,2,95,35.7,74.7,5,4.2,15.8,73.3,66.3,6,6.3,4,
128,63,Cherbourg,Jun-24,3,301,-0.3,74.7,12,8.6,12.3,62.2,82.1,16,5.3,26,
129,63,Cherbourg,Jun-24,4,680,8.5,80.2,27,17.2,5,67.6,90.3,7,1,117,
130,63,Cherbourg,Jun-24,5,458,-21.8,94.6,26,17.2,2.8,84.6,94.8,3,0.7,79,
131,63,Cherbourg,Jun-24,ALL,1539,-3.1,82.6,20,14.7,6.5,69,88.6,32,2.1,226,
132,64,Childers,Jun-24,1,2,-71.4,100,0,0,0,-,100,0,0,0,
133,64,Childers,Jun-24,2,91,-5.2,91.2,0,0,45.1,97.6,98.9,2,2.2,0,
134,64,Childers,Jun-24,3,379,25.9,91.7,1,1.3,22.7,94.2,97.9,5,1.3,5,
135,64,Childers,Jun-24,4,501,33.6,97.1,4,2.8,8.6,95.3,98.8,4,0.8,14,
136,64,Childers,Jun-24,5,196,10.7,98.2,8,8.2,2,100,98.5,1,0.5,16,
137,64,Childers,Jun-24,ALL,1169,22.3,94.9,2,3,14.9,95.4,98.5,12,1,35,
138,65,Eidsvold MPHS,Jun-24,1,0,-100,-,-,-,-,-,-,0,-,0,
139,65,Eidsvold MPHS,Jun-24,2,6,-25,100,0,0,66.7,100,100,1,16.7,0,
140,65,Eidsvold MPHS,Jun-24,3,32,23.1,96.9,0,0,59.4,100,100,0,0,0,
141,65,Eidsvold MPHS,Jun-24,4,60,7.1,96.6,0,0,20,100,100,0,0,0,
142,65,Eidsvold MPHS,Jun-24,5,44,12.8,100,0,2.3,2.3,100,100,0,0,1,
143,65,Eidsvold MPHS,Jun-24,ALL,142,8.4,97.9,0,0.7,25.4,100,100,1,0.7,1,
144,66,Gayndah,Jun-24,1,10,42.9,100,0,0,90,100,100,0,0,0,
145,66,Gayndah,Jun-24,2,81,28.6,98.8,0,0,60.5,98,96.3,0,0,0,
146,66,Gayndah,Jun-24,3,181,47.2,98.9,0,0.6,42.5,98.7,93.9,3,1.7,1,
147,66,Gayndah,Jun-24,4,189,-8.7,98.4,0,1.1,15.9,96.7,96.8,1,0.5,2,
148,66,Gayndah,Jun-24,5,130,-35.3,99.2,0,1.5,5.4,85.7,97.7,1,0.8,2,
149,66,Gayndah,Jun-24,ALL,591,-1.7,98.8,0,0.8,29.1,97.7,96.1,5,0.8,5,
150,67,Gin Gin,Jun-24,1,2,-50,100,0,0,0,-,100,0,0,0,
151,67,Gin Gin,Jun-24,2,32,23.1,90.6,0,0,34.4,100,100,0,0,0,
152,67,Gin Gin,Jun-24,3,186,11.4,93.5,5,0.5,28,100,99.5,1,0.5,1,
153,67,Gin Gin,Jun-24,4,348,16.8,95.6,5,2.3,12.1,100,98.3,2,0.6,8,
154,67,Gin Gin,Jun-24,5,343,-6,96.9,10,5.5,3.2,100,98.8,0,0,19,
155,67,Gin Gin,Jun-24,ALL,911,5.9,95.5,5,3.1,12.7,100,98.8,3,0.3,28,
156,68,Gympie,Jun-24,1,36,24.1,100,0,0,30.6,45.5,41.7,0,0,0,
157,68,Gympie,Jun-24,2,1212,14.8,79.9,7,0.3,45.6,49.2,53.5,13,1.1,4,
158,68,Gympie,Jun-24,3,3467,8.6,51.7,29,4.2,28.2,27.7,50.9,123,3.5,145,
159,68,Gympie,Jun-24,4,3805,5.9,64,40,7.7,7.5,31.6,72.8,187,4.9,293,
160,68,Gympie,Jun-24,5,393,-12.3,91.8,20,8.7,2.8,54.5,90.3,11,2.8,34,
161,68,Gympie,Jun-24,ALL,8913,7.2,62.6,27,5.3,20.6,35,62.3,334,3.7,476,
162,69,Hervey Bay,Jun-24,1,63,6.8,100,0,0,55.6,48.6,41.3,0,0,0,
163,69,Hervey Bay,Jun-24,2,1775,13.9,87,4,0.2,56.3,37.7,43,36,2,4,
164,69,Hervey Bay,Jun-24,3,5082,8.5,60.1,22,3.3,42.7,24.8,41.5,258,5.1,169,
165,69,Hervey Bay,Jun-24,4,4201,4.7,75.9,19,8.1,20.2,23.2,57.2,282,6.7,340,
166,69,Hervey Bay,Jun-24,5,436,-8.4,93.5,13,7.8,4.4,36.8,85.3,28,6.4,34,
167,69,Hervey Bay,Jun-24,ALL,11557,7.1,71.3,14,4.7,35.2,27.9,49.1,604,5.2,547,
168,70,Kingaroy,Jun-24,1,61,13,100,0,0,26.2,25,29.5,1,1.6,0,
169,70,Kingaroy,Jun-24,2,818,36.1,49,11,0.2,21.8,4.5,24.9,18,2.2,2,
170,70,Kingaroy,Jun-24,3,1992,3.7,48.6,32,2.8,15.3,6.9,45.6,81,4.1,55,
171,70,Kingaroy,Jun-24,4,2408,-0.7,46.8,67,9.4,3.7,6.7,66.7,119,4.9,226,
172,70,Kingaroy,Jun-24,5,1095,-2.9,68.1,65,13.2,1.1,50,80.5,38,3.5,144,
173,70,Kingaroy,Jun-24,ALL,6374,4,51.3,40,6.7,9.4,7.5,56.8,257,4,427,
174,71,Maryborough,Jun-24,1,33,-17.5,100,0,0,18.2,16.7,39.4,1,3,0,
175,71,Maryborough,Jun-24,2,1093,8.8,87.1,5,0,41.6,66.6,61.7,20,1.8,0,
176,71,Maryborough,Jun-24,3,2394,2.5,60.1,23,1.6,29.7,52.5,60.4,71,3,39,
177,71,Maryborough,Jun-24,4,2665,4.6,60.3,44,6.8,9.3,52.2,78.4,87,3.3,180,
178,71,Maryborough,Jun-24,5,281,-14.8,91.6,23,9.3,4.3,91.7,90.7,7,2.5,26,
179,71,Maryborough,Jun-24,ALL,6466,3.3,66.4,21,3.8,22.1,57.1,69.3,186,2.9,245,
180,72,Monto,Jun-24,1,2,100,100,0,0,50,100,100,0,0,0,
181,72,Monto,Jun-24,2,21,0,100,0,0,61.9,92.3,95.2,1,4.8,0,
182,72,Monto,Jun-24,3,81,17.4,98.7,0,1.2,50.6,100,100,0,0,1,
183,72,Monto,Jun-24,4,222,-0.9,100,0,0.5,18.9,97.6,97.7,1,0.5,1,
184,72,Monto,Jun-24,5,78,-23.5,100,0,0,6.4,100,98.7,0,0,0,
185,72,Monto,Jun-24,ALL,404,-3.1,99.7,0,0.5,25.2,98,98.3,2,0.5,2,
186,74,Mundubbera MPHS,Jun-24,1,0,-100,-,-,-,-,-,-,0,-,0,
187,74,Mundubbera MPHS,Jun-24,2,16,-38.5,87.5,0,0,75,100,100,1,6.3,0,
188,74,Mundubbera MPHS,Jun-24,3,53,-1.9,100,0,0,37.7,100,100,1,1.9,0,
189,74,Mundubbera MPHS,Jun-24,4,92,-1.1,100,0,0,7.6,100,100,1,1.1,0,
190,74,Mundubbera MPHS,Jun-24,5,55,139.1,98,0,1.8,5.5,100,100,0,0,1,
191,74,Mundubbera MPHS,Jun-24,ALL,216,8.5,98.6,0,0.5,19.4,100,100,3,1.4,1,
192,75,Murgon,Jun-24,1,2,-33.3,100,0,0,50,100,100,0,0,0,
193,75,Murgon,Jun-24,2,81,5.2,90.1,1,0,49.4,92.5,82.7,2,2.5,0,
194,75,Murgon,Jun-24,3,329,39.4,89.1,3,3.3,28.6,71.3,83.6,4,1.2,11,
195,75,Murgon,Jun-24,4,624,23.8,93.2,9,4.5,7.4,80.4,92.1,6,1,28,
196,75,Murgon,Jun-24,5,315,18.4,99.4,6,4.8,3.2,90,98.1,2,0.6,15,
197,75,Murgon,Jun-24,ALL,1351,24.4,92.7,5,4,14.1,79.1,90.9,14,1,54,
198,76,Nanango,Jun-24,1,1,-50,100,0,0,0,-,100,0,0,0,
199,76,Nanango,Jun-24,2,47,38.2,86.7,0,4.3,8.5,50,78.7,0,0,2,
200,76,Nanango,Jun-24,3,87,24.3,94.2,5,1.1,8,71.4,86.2,2,2.3,1,
201,76,Nanango,Jun-24,4,322,-0.6,90,10,2.5,1.9,100,94.4,1,0.3,8,
202,76,Nanango,Jun-24,5,587,54.9,97.6,14,3.1,0.5,100,97.1,0,0,18,
203,76,Nanango,Jun-24,ALL,1044,29,93.9,10,2.8,1.9,80,94.5,3,0.3,29,
204,91,Chinchilla,Jun-24,1,4,-33.3,100,0,0,100,100,100,0,0,0,
205,91,Chinchilla,Jun-24,2,120,18.8,92.5,1,0,55,97,91.7,2,1.7,0,
206,91,Chinchilla,Jun-24,3,464,15.1,88.6,5,1.1,30.8,91.6,91.2,7,1.5,5,
207,91,Chinchilla,Jun-24,4,990,10.5,92.9,4,2.9,7.6,92,97.1,4,0.4,29,
208,91,Chinchilla,Jun-24,5,1181,22.8,99,5,3.6,0.7,100,99.1,1,0.1,43,
209,91,Chinchilla,Jun-24,ALL,2759,16.5,94.1,4,2.8,10.7,93.2,96.7,14,0.5,77,
210,92,Dalby,Jun-24,1,13,62.5,100,0,0,46.2,100,92.3,0,0,0,
211,92,Dalby,Jun-24,2,419,23.2,55,10,0.2,54.4,92.1,90,6,1.4,1,
212,92,Dalby,Jun-24,3,1419,19.7,59.3,24,1.8,34.7,96.3,92.6,10,0.7,26,
213,92,Dalby,Jun-24,4,1482,-15.2,65.6,38,5.3,9.8,95.2,93.1,5,0.3,78,
214,92,Dalby,Jun-24,5,580,-5.5,88.2,23,9.1,3.1,100,96.7,0,0,53,
215,92,Dalby,Jun-24,ALL,3913,0.5,64.9,25,4,22.7,95.2,93.1,21,0.5,158,
216,93,Goondiwindi,Jun-24,1,1,-87.5,100,0,0,0,-,0,1,100,0,
217,93,Goondiwindi,Jun-24,2,162,11.7,87.5,1,0,46.9,73.7,76.5,2,1.2,0,
218,93,Goondiwindi,Jun-24,3,677,29.4,85.8,8,0.4,23.6,76.9,89.5,8,1.2,3,
219,93,Goondiwindi,Jun-24,4,1510,29.4,90.5,12,3,4.1,62.9,95.4,4,0.3,45,
220,93,Goondiwindi,Jun-24,5,618,-12.7,97.9,11,6.3,1.1,71.4,97.9,1,0.2,39,
221,93,Goondiwindi,Jun-24,ALL,2968,16.3,90.4,10,2.9,10.3,73.1,93.5,16,0.5,87,
222,95,Jandowae,Jun-24,1,1,0,100,0,0,100,100,100,0,0,0,
223,95,Jandowae,Jun-24,2,22,-29,81.8,0,0,40.9,88.9,90.9,0,0,0,
224,95,Jandowae,Jun-24,3,82,-19.6,94.9,0,0,19.5,93.8,95.1,1,1.2,0,
225,95,Jandowae,Jun-24,4,213,55.5,97.5,0,0,5.2,90.9,98.1,0,0,0,
226,95,Jandowae,Jun-24,5,221,90.5,100,0,0,3.6,100,100,0,0,0,
227,95,Jandowae,Jun-24,ALL,539,39.3,96.8,0,0,8.3,93.3,98.1,1,0.2,0,
228,97,Miles,Jun-24,1,2,-60,100,0,0,100,100,100,0,0,0,
229,97,Miles,Jun-24,2,46,17.9,95.6,0,2.2,69.6,100,97.8,0,0,1,
230,97,Miles,Jun-24,3,174,13,93.1,3,0,36.2,93.7,91.4,3,1.7,0,
231,97,Miles,Jun-24,4,342,35.2,96.1,5,4.1,9.9,94.1,97.1,2,0.6,14,
232,97,Miles,Jun-24,5,566,21.7,98.5,12,3.5,6.9,94.9,98.8,0,0,20,
233,97,Miles,Jun-24,ALL,1130,23.4,96.4,5,3.1,15,95.3,97.1,5,0.4,35,
234,98,Millmerran,Jun-24,1,5,400,100,0,0,60,100,80,0,0,0,
235,98,Millmerran,Jun-24,2,83,33.9,92.7,0,0,28.9,87.5,78.3,1,1.2,0,
236,98,Millmerran,Jun-24,3,232,24.1,94.7,1,1.7,20.7,83.3,87.5,3,1.3,4,
237,98,Millmerran,Jun-24,4,252,-0.4,97.9,0,3.2,4,90,95.2,2,0.8,8,
238,98,Millmerran,Jun-24,5,161,2.5,100,0,1.9,0.6,100,99.4,0,0,3,
239,98,Millmerran,Jun-24,ALL,733,11.1,96.5,0,2,11.7,86,91.7,6,0.8,15,
240,99,Oakey,Jun-24,1,1,-66.7,100,0,0,0,-,100,0,0,0,
241,99,Oakey,Jun-24,2,40,185.7,90,0,0,22.5,88.9,87.5,2,5,0,
242,99,Oakey,Jun-24,3,262,64.8,94.6,5,1.1,18.7,89.8,90.8,3,1.1,3,
243,99,Oakey,Jun-24,4,338,-8.2,98.8,5,2.7,9.5,84.4,95,0,0,9,
244,99,Oakey,Jun-24,5,170,60.4,99.3,5,3.5,3.5,100,99.4,1,0.6,6,
245,99,Oakey,Jun-24,ALL,811,24.8,96.9,5,2.2,11.8,88.5,94.2,6,0.7,18,
246,100,Stanthorpe,Jun-24,1,3,50,100,0,0,66.7,100,100,0,0,0,
247,100,Stanthorpe,Jun-24,2,303,20.2,76,3,0,50.2,73.7,76.9,1,0.3,0,
248,100,Stanthorpe,Jun-24,3,670,1.8,81.5,6,2.8,22.7,73.7,84.2,4,0.6,19,
249,100,Stanthorpe,Jun-24,4,884,16.5,84.2,7,7.5,4.3,76.3,93.3,1,0.1,66,
250,100,Stanthorpe,Jun-24,5,444,-11.9,96.9,2,7,1.8,75,95,0,0,31,
251,100,Stanthorpe,Jun-24,ALL,2304,5.9,84,5,5,15.3,74.1,88.8,6,0.3,116,
252,101,Tara,Jun-24,1,8,60,100,0,0,25,100,87.5,0,0,0,
253,101,Tara,Jun-24,2,103,83.9,94.2,0,0,48.5,88,84.5,6,5.8,0,
254,101,Tara,Jun-24,3,236,4.4,95.3,0,0.4,28.4,88.1,91.9,2,0.8,1,
255,101,Tara,Jun-24,4,364,-1.4,96.2,3,1.6,10.2,91.9,96.4,0,0,6,
256,101,Tara,Jun-24,5,636,17.3,100,2,1.1,1.3,87.5,99.1,0,0,7,
